circuit_id,overtake_difficulty
bahrain,0.4910714285714284
jeddah,0.642857142857143
albert_park,0.1254699248120298
imola,0.41666666666666674
miami,0.59375
catalunya,0.6461466165413534
monaco,1.0
baku,0.44047619047619047
villeneuve,0.24999999999999978
silverstone,0.5714285714285713
red_bull_ring,0.5357142857142857
ricard,0.4642857142857142
hungaroring,0.488095238095238
spa,0.3214285714285713
zandvoort,0.4999999999999999
monza,0.5357142857142857
marina_bay,0.26190476190476164
suzuka,0.9821428571428572
americas,0.0
rodriguez,0.4166666666666664
interlagos,0.03571428571428559
yas_marina,0.6428571428571428
losail,0.5178571428571428
vegas,0.2142857142857142
shanghai,0.3571428571428569
