season_year,round_number,circuit_id,driver_id,starting_grid_position,finishing_position,grid_penalty_places,grid_penalty_flag,q2_flag,q3_flag,driver_points_scored,driver_championship_rank,constructor_id,constructor_points_scored,constructor_championship_rank,rqtd_sec,rqtd_pct
2022,3,albert_park,latifi,18,16,-1,0,0,0,0,20,williams,1,9,3.504000000000005,4.4999229465249035
2022,3,albert_park,alonso,10,17,0,0,1,1,2,14,alpine,22,5,0.9470000000000027,1.2161606821801119
2022,3,albert_park,max_verstappen,2,18,0,0,1,1,25,6,red_bull,55,3,0.28600000000000136,0.36728823136589206
2022,3,albert_park,vettel,17,19,-1,0,0,0,0,,aston_martin,0,10,3.281000000000006,4.2135408640262995
2022,3,albert_park,sainz,9,20,0,0,1,1,33,3,ferrari,104,1,0.6009999999999991,0.7718189757024652
2022,4,imola,max_verstappen,1,1,0,0,1,1,59,2,red_bull,113,2,0.0,0.0
2022,4,imola,perez,3,2,-4,0,1,1,54,3,red_bull,113,2,0.5029999999999859,0.6383815821202177
2022,4,imola,norris,5,3,2,1,1,1,35,6,mclaren,46,4,0.5009999999999906,0.6358432855710472
2022,4,imola,russell,11,4,0,0,1,0,49,4,mercedes,77,3,1.5899999999999892,2.0179457566027237
2022,4,imola,bottas,7,5,-1,0,1,1,24,8,alfa,25,5,1.399000000000001,1.7755384361554993
2022,4,imola,leclerc,2,6,0,0,1,1,86,1,ferrari,124,1,0.002999999999985903,0.0038074448237557235
2022,4,imola,tsunoda,12,7,-4,0,0,0,10,12,alphatauri,16,7,1.6809999999999974,2.133438249590691
2022,4,imola,vettel,13,8,4,1,1,1,4,14,aston_martin,5,9,1.1639999999999873,1.477288591626147
2022,4,imola,kevin_magnussen,8,9,4,1,1,1,15,10,haas,15,8,1.1089999999999947,1.4074854365235367
2022,4,imola,stroll,15,10,0,0,1,0,1,18,aston_martin,5,9,1.5489999999999924,1.965910677344418
2022,4,imola,albon,18,11,-2,0,0,0,1,17,williams,1,10,,
2022,4,imola,gasly,17,12,0,0,0,0,6,13,alphatauri,16,7,1.938999999999993,2.4608785044356596
2022,4,imola,hamilton,14,13,1,1,1,0,28,7,mercedes,77,3,1.6769999999999925,2.128361656492328
2022,4,imola,ocon,16,14,-3,0,0,0,20,9,alpine,22,6,3.5449999999999875,4.49913063343188
2022,4,imola,zhou,0,15,-14,0,1,0,1,16,alfa,25,5,0.9369999999999976,1.1891919332935652
2022,4,imola,latifi,19,16,1,1,0,0,0,21,williams,1,10,3.1779999999999973,4.033353216656299
2022,4,imola,mick_schumacher,10,17,-2,0,1,0,0,19,haas,15,8,1.6289999999999907,2.067442539311859
2022,4,imola,ricciardo,6,18,0,0,1,1,11,11,mclaren,46,4,1.1869999999999976,1.506479001941785
2022,4,imola,alonso,9,19,4,1,1,1,2,15,alpine,22,6,0.8019999999999925,1.017856916223514
2022,4,imola,sainz,4,20,-6,0,1,1,38,5,ferrari,124,1,0.19699999999998852,0.2500222100947802
