threshold,precision,recall,f1,auc
0.3,0.7053571428571429,0.6752136752136753,0.6899563318777293,0.8193976424716607
0.31,0.7085201793721974,0.6752136752136753,0.6914660831509847,0.8193976424716607
0.32,0.7214611872146118,0.6752136752136753,0.6975717439293598,0.8193976424716607
0.33,0.7302325581395349,0.6709401709401709,0.6993318485523385,0.8193976424716607
0.34,0.7370892018779343,0.6709401709401709,0.7024608501118568,0.8193976424716607
0.35000000000000003,0.7428571428571429,0.6666666666666666,0.7027027027027027,0.8193976424716607
0.36000000000000004,0.7572815533980582,0.6666666666666666,0.7090909090909091,0.8193976424716607
0.37000000000000005,0.7684729064039408,0.6666666666666666,0.7139588100686499,0.8193976424716607
0.38000000000000006,0.7711442786069652,0.6623931623931624,0.7126436781609196,0.8193976424716607
0.39000000000000007,0.7806122448979592,0.6538461538461539,0.7116279069767442,0.8193976424716607
0.4000000000000001,0.7927461139896373,0.6538461538461539,0.7166276346604216,0.8193976424716607
0.4100000000000001,0.7927461139896373,0.6538461538461539,0.7166276346604216,0.8193976424716607
0.4200000000000001,0.796875,0.6538461538461539,0.7183098591549296,0.8193976424716607
0.4300000000000001,0.796875,0.6538461538461539,0.7183098591549296,0.8193976424716607
0.4400000000000001,0.8010471204188482,0.6538461538461539,0.72,0.8193976424716607
0.4500000000000001,0.8010471204188482,0.6538461538461539,0.72,0.8193976424716607
0.46000000000000013,0.8085106382978723,0.6495726495726496,0.7203791469194313,0.8193976424716607
0.47000000000000014,0.8085106382978723,0.6495726495726496,0.7203791469194313,0.8193976424716607
0.48000000000000015,0.8128342245989305,0.6495726495726496,0.7220902612826603,0.8193976424716607
0.49000000000000016,0.8128342245989305,0.6495726495726496,0.7220902612826603,0.8193976424716607
0.5000000000000002,0.8152173913043478,0.6410256410256411,0.7177033492822966,0.8193976424716607
0.5100000000000002,0.819672131147541,0.6410256410256411,0.7194244604316546,0.8193976424716607
0.5200000000000002,0.8241758241758241,0.6410256410256411,0.7211538461538461,0.8193976424716607
0.5300000000000002,0.8241758241758241,0.6410256410256411,0.7211538461538461,0.8193976424716607
0.5400000000000003,0.8241758241758241,0.6410256410256411,0.7211538461538461,0.8193976424716607
0.5500000000000003,0.8212290502793296,0.6282051282051282,0.711864406779661,0.8193976424716607
0.5600000000000003,0.8248587570621468,0.6239316239316239,0.7104622871046229,0.8193976424716607
0.5700000000000003,0.8238636363636364,0.6196581196581197,0.7073170731707317,0.8193976424716607
0.5800000000000003,0.8285714285714286,0.6196581196581197,0.7090464547677262,0.8193976424716607
0.5900000000000003,0.8372093023255814,0.6153846153846154,0.7093596059113301,0.8193976424716607
0.6000000000000003,0.8470588235294118,0.6153846153846154,0.7128712871287128,0.8193976424716607
0.6100000000000003,0.8571428571428571,0.6153846153846154,0.7164179104477612,0.8193976424716607
0.6200000000000003,0.8562874251497006,0.6111111111111112,0.713216957605985,0.8193976424716607
0.6300000000000003,0.8606060606060606,0.6068376068376068,0.7117794486215538,0.8193976424716607
0.6400000000000003,0.8580246913580247,0.594017094017094,0.702020202020202,0.8193976424716607
0.6500000000000004,0.8625,0.5897435897435898,0.700507614213198,0.8193976424716607
0.6600000000000004,0.8616352201257862,0.5854700854700855,0.6972010178117048,0.8193976424716607
0.6700000000000004,0.8670886075949367,0.5854700854700855,0.6989795918367347,0.8193976424716607
0.6800000000000004,0.8758169934640523,0.5726495726495726,0.6925064599483204,0.8193976424716607
0.6900000000000004,0.8758169934640523,0.5726495726495726,0.6925064599483204,0.8193976424716607
0.7000000000000004,0.8741721854304636,0.5641025641025641,0.6857142857142857,0.8193976424716607
0.7100000000000004,0.8835616438356164,0.5512820512820513,0.6789473684210526,0.8193976424716607
0.7200000000000004,0.8896551724137931,0.5512820512820513,0.6807387862796834,0.8193976424716607
0.7300000000000004,0.8840579710144928,0.5213675213675214,0.6559139784946236,0.8193976424716607
0.7400000000000004,0.8888888888888888,0.5128205128205128,0.6504065040650406,0.8193976424716607
0.7500000000000004,0.8888888888888888,0.47863247863247865,0.6222222222222222,0.8193976424716607
0.7600000000000005,0.8916666666666667,0.45726495726495725,0.6045197740112994,0.8193976424716607
0.7700000000000005,0.9009009009009009,0.42735042735042733,0.5797101449275363,0.8193976424716607
0.7800000000000005,0.9108910891089109,0.39316239316239315,0.5492537313432836,0.8193976424716607
0.7900000000000005,0.9042553191489362,0.36324786324786323,0.5182926829268293,0.8193976424716607
0.8000000000000005,0.9080459770114943,0.33760683760683763,0.49221183800623053,0.8193976424716607
