iter	Logloss
0	0.6794354289
1	0.6620575512
2	0.6463715661
3	0.6339562227
4	0.6202123673
5	0.6090585125
6	0.596332468
7	0.5834188189
8	0.5754947091
9	0.5652926997
10	0.5546176613
11	0.5437837183
12	0.5334848394
13	0.5233908975
14	0.5124017262
15	0.5031232184
16	0.4949070623
17	0.4874940126
18	0.4807401876
19	0.4723950152
20	0.4644698731
21	0.4590633571
22	0.4525164452
23	0.4461809255
24	0.4396637364
25	0.4335351043
26	0.4293974288
27	0.4234838693
28	0.41740595
29	0.4136532308
30	0.4083527145
31	0.4037725402
32	0.4015847161
33	0.3978536885
34	0.3929467096
35	0.3879287278
36	0.3838327391
37	0.3809312107
38	0.3758215116
39	0.3718090425
40	0.3677287865
41	0.3646488553
42	0.361739117
43	0.3581527853
44	0.3553656844
45	0.3528687137
46	0.3487533753
47	0.3453663466
48	0.3410447722
49	0.3399039147
50	0.3375540675
51	0.3345715211
52	0.3306137558
53	0.3281752647
54	0.3249860997
55	0.3212099697
56	0.3192776971
57	0.3176429002
58	0.3138787447
59	0.3101981262
60	0.3077238313
61	0.3065019415
62	0.3044624458
63	0.3012093495
64	0.2985821094
65	0.2967026909
66	0.2941179458
67	0.2926970172
68	0.2906232687
69	0.2893439171
70	0.2878401201
71	0.28523164
72	0.283070285
73	0.2806469997
74	0.2791539737
75	0.2768639813
76	0.2745570248
77	0.2730623908
78	0.2709248376
79	0.2687018699
80	0.2670335294
81	0.2660794488
82	0.2647914255
83	0.2623926286
84	0.2607283299
85	0.2584311656
86	0.2576053124
87	0.2551938008
88	0.2536804649
89	0.2528206414
90	0.2521148741
91	0.2504207534
92	0.2486123768
93	0.2476234258
94	0.2470132298
95	0.2456142976
96	0.2439463374
97	0.241835777
98	0.241047131
99	0.2395461069
100	0.2383261225
101	0.2379479665
102	0.2373350438
103	0.2365929625
104	0.2359319993
105	0.2347986866
106	0.2338715569
107	0.2331681912
108	0.2314808135
109	0.2304064015
110	0.2296461513
111	0.2290858727
112	0.2285222211
